項目,買進金額,賣出金額,買賣差額
114年07月16日 三大法人買賣超統計,,,
自營商(自行買賣),62.01,58.0,4.01
自營商(避險),180.53,105.93,74.6
投信,159.64,134.32,25.32
外資及陸資,1369.25,1230.2,139.04
外資自營商,0.0,0.0,0.0
合計,1771.43,1528.47,242.97
,,,
市場交易資訊,3912.95 億元,1649.95 (42.17%),
